sample_id,reads,notes
SimonsL4_1053D,5612,
SimonsL4_1074A,35,
SimonsL4_1270D,3651,
SimonsL4_1396B,151,
SimonsL4_1397F,11,
SimonsL4_1407BB,6,
SimonsL4_1407O,2,
SimonsL4_1421A,10,
SimonsL4_1486C,27,
SimonsL4_1514L,28,
SimonsL4_1514L5,5,
SimonsL4_1518A,2,
SimonsL4_1536X,18,
SimonsL4_1539J,2,
SimonsL4_1541C,531,
SimonsL4_1541L,23,
SimonsL4_1577I,10,
SimonsL4_1580J,7,
SimonsL4_1581F,5,
SimonsL4_1582V,7,
SimonsL4_1587G,3,
SimonsL4_1626A,21,
SimonsL4_1637E,8,
SimonsL4_1652RR,5,
SimonsL4_1666B,58,
SimonsL4_1669D,7,
SimonsL4_1691C,4083,
SimonsL4_1713B,6,
SimonsL4_1748D2,140,
SimonsL4_1752P,1979,
SimonsL4_1753E,1285,
SimonsL4_1760A,28,
SimonsL4_1763D,7,
SimonsL4_1763J,25,
SimonsL4_1769H,9,
SimonsL4_1770C1,10,
SimonsL4_1774DD,9,
SimonsL4_1775G,42,
SimonsL4_1775O,2,
SimonsL4_1777H,8,
SimonsL4_1777S,15,
SimonsL4_1779D,13,
SimonsL4_1796F,1,
SimonsL4_1811A,8,
SimonsL4_1831A,1,
SimonsL4_1832A,2271,
SimonsL4_1840D,14,
SimonsL4_1843L,1,
SimonsL4_1855N6,8,
SimonsL4_1867D,15,
SimonsL4_1870X,3374,
SimonsL4_1872G,489,
SimonsL4_1900P,1,
SimonsL4_1902W,5,
SimonsL4_1903G,2164,
SimonsL4_1903M,3,
SimonsL4_1909N,12,
SimonsL4_1909Q,22,
SimonsL4_1917C1,1,
SimonsL4_2056A,10,
SimonsL4_2106E,2476,
SimonsL4_2109G,8013,
SimonsL4_315A,6608,
SimonsL4_359A,4,
SimonsL4_403A,3450,
SimonsL4_553B,62928,
SimonsL4_560E,6380,
SimonsL4_736A,5335,
SimonsL4_765A,3971,
SimonsL4_830H,7635,
SimonsL4_832E,11519,
SimonsL4_834H,108,
SimonsL5_1001A,11006,
SimonsL5_1068A,23,
SimonsL5_114A,5914,
SimonsL5_1258D,18,
SimonsL5_1258F,26,
SimonsL5_1258G,4,
SimonsL5_1281B,2,Removed from Further Analyses
SimonsL5_1283F,28,
SimonsL5_1327C,2,Removed from Further Analyses
SimonsL5_1398K,3959,
SimonsL5_1421B,2,
SimonsL5_1487F,20,
SimonsL5_1514U5,28,
SimonsL5_1514V4,4,
SimonsL5_1519B,18,
SimonsL5_1519H,22,
SimonsL5_1534K,3100,
SimonsL5_1546T,10,
SimonsL5_1562C,41,
SimonsL5_1562V,13,
SimonsL5_1566R,4,
SimonsL5_1566T,4,
SimonsL5_1571B,7898,
SimonsL5_1572D,4037,
SimonsL5_1572K,2,Removed from Further Analyses
SimonsL5_1573N,9,
SimonsL5_1574E,2,
SimonsL5_1587B,12,
SimonsL5_1641Q,17,
SimonsL5_1647A,1,Removed from Further Analyses
SimonsL5_1649F,17,
SimonsL5_1654B,1260,
SimonsL5_1683B,13,
SimonsL5_1683D,39,
SimonsL5_171A,6,
SimonsL5_1758M,8,
SimonsL5_1763F,49,
SimonsL5_1763M,2,
SimonsL5_1765A,13,
SimonsL5_1770B,1246,
SimonsL5_1771B2,2,Removed from Further Analyses
SimonsL5_1774L,2852,
SimonsL5_1783D,15,
SimonsL5_1784C,12591,
SimonsL5_1790C,38,
SimonsL5_1791C,27,
SimonsL5_1797C,1453,
SimonsL5_1797F,4,
SimonsL5_1800A,104,
SimonsL5_181A,3221,
SimonsL5_1836J,5,
SimonsL5_1839E,1,
SimonsL5_1842A,4831,
SimonsL5_1867A,14,
SimonsL5_1870H,3756,
SimonsL5_1873J,3,
SimonsL5_1899A,26,
SimonsL5_1904B3,7,
SimonsL5_1906C,29,
SimonsL5_1906G,6156,
SimonsL5_1909O,10,
SimonsL5_1929C,6,
SimonsL5_1932B,2,
SimonsL5_1932C,6380,
SimonsL5_2107C,5019,
SimonsL5_336B,7,
SimonsL5_350C,18,
SimonsL5_401A,9,
SimonsL5_519A,1,
SimonsL5_759A,12,
SimonsL5_766B,980,
SimonsL5_772C,4019,
SimonsL5_834O,9922,
SimonsL5_860A,10169,
SimonsL5_884A,6159,
SimonsH1_356A,0,Removed from Further Analyses
SimonsH1_1228C,0,Removed from Further Analyses
SimonsH1_1869B,0,Removed from Further Analyses
SimonsH1_1567B,0,Removed from Further Analyses
SimonsH1_1173A,0,Removed from Further Analyses
SimonsH2_165A,0,Removed from Further Analyses
SimonsH2_773D,0,Removed from Further Analyses
SimonsH2_1516F,0,Removed from Further Analyses
SimonsH2_132A,0,Removed from Further Analyses
SimonsH2_1861A,0,Removed from Further Analyses
SimonsH3_400A,0,Removed from Further Analyses
SimonsH3_1779B,0,Removed from Further Analyses
SimonsH3_1762A,0,Removed from Further Analyses
SimonsH3_1905U,0,Removed from Further Analyses
SimonsH3_232B,0,Removed from Further Analyses
SimonsH3_1572BB,0,Removed from Further Analyses
SimonsH3_1572S,0,Removed from Further Analyses
SimonsH3_1581D,0,Removed from Further Analyses
SimonsH4_1327F,0,Removed from Further Analyses
SimonsH4_1561A,0,Removed from Further Analyses
SimonsH4_1682C3,0,Removed from Further Analyses
SimonsH4_1714A,0,Removed from Further Analyses
SimonsH4_1568A,0,Removed from Further Analyses
SimonsH4_1839I,0,Removed from Further Analyses
SimonsH4_1581C,0,Removed from Further Analyses
SimonsH4_221A,0,Removed from Further Analyses
SimonsH4_217A,0,Removed from Further Analyses
SimonsH4_350B,0,Removed from Further Analyses
SimonsH5_1518H,0,Removed from Further Analyses
SimonsH5_1582E,0,Removed from Further Analyses
SimonsH5_1864A,0,Removed from Further Analyses
SimonsH5_1947A,0,Removed from Further Analyses
SimonsH5_1748F,0,Removed from Further Analyses
SimonsH5_1587L,0,Removed from Further Analyses
SimonsH5_222B,0,Removed from Further Analyses
SimonsH5_842A,0,Removed from Further Analyses
SimonsH5_1172A,0,Removed from Further Analyses
SimonsH5_1052A,0,Removed from Further Analyses
SimonsH5_109A,0,Removed from Further Analyses
SimonsH6_243A,0,Removed from Further Analyses
SimonsH6_1745F,0,Removed from Further Analyses
SimonsH6_1694C,0,Removed from Further Analyses
SimonsH6_1147I,0,Removed from Further Analyses
SimonsH6_05C,0,Removed from Further Analyses
SimonsH6_1907B,0,Removed from Further Analyses
SimonsH6_1799C,0,Removed from Further Analyses
SimonsH6_1790H,0,Removed from Further Analyses
SimonsH6_1693A,0,Removed from Further Analyses
SimonsL1_1753F,0,Removed from Further Analyses
SimonsL1_1399L,0,Removed from Further Analyses
SimonsL1_1869A,0,Removed from Further Analyses
SimonsL1_1407CC,0,Removed from Further Analyses
SimonsL1_1573P,0,Removed from Further Analyses
SimonsL1_1539F,0,Removed from Further Analyses
SimonsL1_1652R,0,Removed from Further Analyses
SimonsL2_1763A,0,Removed from Further Analyses
SimonsL2_1397P,0,Removed from Further Analyses
SimonsL2_1281E,0,Removed from Further Analyses
SimonsL2_1258H,0,Removed from Further Analyses
SimonsL2_1539C,0,Removed from Further Analyses
SimonsL2_1652AAA,0,Removed from Further Analyses
SimonsL2_1830N,0,Removed from Further Analyses
SimonsL3_1765B,0,Removed from Further Analyses
SimonsL3_1777R,0,Removed from Further Analyses
SimonsL3_1763G,0,Removed from Further Analyses
SimonsL3_1777A,0,Removed from Further Analyses
SimonsL3_1900N,0,Removed from Further Analyses
SimonsL3_1399E,0,Removed from Further Analyses
SimonsL4_1836M,0,Removed from Further Analyses
SimonsL4_1762B,0,Removed from Further Analyses
SimonsL4_1757H,0,Removed from Further Analyses
SimonsL4_1668B,0,Removed from Further Analyses
SimonsL4_1657D,0,Removed from Further Analyses
SimonsL4_1576F,0,Removed from Further Analyses
SimonsL4_1401E,0,Removed from Further Analyses
SimonsL5_1934A,0,Removed from Further Analyses
SimonsL5_1753D,0,Removed from Further Analyses
